;Curso;Empresa;Data Início;Data Término;Ano Início;Ano Término;Período;Latitude;Longitude;Cidade;Localização;;
67;Engenharia Física;A.C. NIELSEN DO BRASIL LTDA;10/09/2018 00:00;03/02/2020 00:00;2018;2020;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
82;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/11/2019 00:00;22/07/2019 00:00;2019;2019;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
86;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/03/2020 00:00;09/04/2023 00:00;2020;2023;3;-2.364.337.517;-4.682.693.459;São Paulo;3;;
88;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;01/08/2020 00:00;14/07/2023 00:00;2020;2023;3;-2.364.337.517;-4.682.693.459;São Paulo;3;;
90;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2020 00:00;15/01/2021 00:00;2020;2021;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
91;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;02/04/2021 00:00;26/10/2021 00:00;2021;2021;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
93;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;13/08/2020 00:00;18/07/2022 00:00;2020;2022;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
96;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;05/02/2019 00:00;01/11/2022 00:00;2019;2022;3;-2.364.337.517;-4.682.693.459;São Paulo;3;;
99;Engenharia de Materiais;A.C. NIELSEN DO BRASIL LTDA;10/10/2021 00:00;07/12/2021 00:00;2021;2021;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
130;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;05/02/2020 00:00;03/10/2021 00:00;2020;2021;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
150;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/11/2021 00:00;23/07/2021 00:00;2021;2021;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
153;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;13/08/2022 00:00;31/07/2022 00:00;2022;2022;0;-2.364.337.517;-4.682.693.459;São Paulo;3;;
154;Engenharia Química;A.C. NIELSEN DO BRASIL LTDA;09/03/2022 00:00;02/08/2023 00:00;2022;2023;1;-2.364.337.517;-4.682.693.459;São Paulo;3;;
164;Engenharia Bioquimica;A.C. NIELSEN DO BRASIL LTDA;05/02/2021 00:00;02/08/2023 00:00;2021;2023;2;-2.364.337.517;-4.682.693.459;São Paulo;3;;
203;Engenharia Bioquimica;AMBEV S.A.;01/08/2018 00:00;01/08/2019 00:00;2018;2019;1;-2.358.470.117;-466.677.518;São Paulo;3;;
204;Engenharia Bioquimica;AMBEV S.A.;14/08/2018 00:00;08/08/2019 00:00;2018;2019;1;-2.358.470.117;-466.677.518;São Paulo;3;;
205;Engenharia Bioquimica;AMBEV S.A.;01/09/2019 00:00;07/08/2019 00:00;2019;2019;0;-2.358.470.117;-466.677.518;São Paulo;3;;
206;Engenharia Bioquimica;AMBEV S.A.;14/08/2019 00:00;14/12/2019 00:00;2019;2019;0;-2.358.470.117;-466.677.518;São Paulo;3;;
207;Engenharia Bioquimica;AMBEV S.A.;08/11/2020 00:00;08/10/2021 00:00;2020;2021;1;-2.358.470.117;-466.677.518;São Paulo;3;;
208;Engenharia Bioquimica;AMBEV S.A.;08/11/2021 00:00;11/02/2021 00:00;2021;2021;0;-2.358.470.117;-466.677.518;São Paulo;3;;
